name,Type,effect,component,group,term,estimate,std.error,statistic,p.value
Oleic,FA,ran_pars,cond,ID,cor__TreatmentControl.TreatmentImpact,0,NA,NA,NA
Linoleic,FA,fixed,cond,NA,(Intercept),-2.986556654239692,0.6293171583370458,-4.74570987724471,2.077763462143215e-6
Linoleic,FA,fixed,cond,NA,SeasonQ320,-1.1916638098742052,0.3506546588533127,-3.3983971973197336,6.778193204476792e-4
Linoleic,FA,fixed,cond,NA,SeasonQ419,-0.3410392331216066,0.20000802959395717,-1.7051277081923235,0.08817060895614746
Linoleic,FA,fixed,cond,NA,SeasonQ420,-1.2668711209778518,0.3354904717500519,-3.7761761589512437,1.5925438026710096e-4
Linoleic,FA,fixed,cond,NA,TreatmentImpact,0.6650964394833035,0.19421361445032695,3.4245613592316513,6.157927709813832e-4
Linoleic,FA,fixed,cond,NA,Sexmale,-0.12897371955140516,0.13979382676546223,-0.92259953486923,0.3562159381702828
Linoleic,FA,fixed,cond,NA,Maturitymature,-0.06261322981681833,0.15458405824609642,-0.40504325301861743,0.6854457176822875
Linoleic,FA,fixed,cond,NA,Age,-0.04745425310054278,0.03862645493847499,-1.2285427999056318,0.21924327291385165
Linoleic,FA,fixed,cond,NA,Fulton,0.13845113935887085,0.5947238181053093,0.23279904914511923,0.8159174513143239
Linoleic,FA,ran_pars,cond,Location,sd__(Intercept),1.3901192440729087e-4,NA,NA,NA
Linoleic,FA,ran_pars,cond,ID,sd__TreatmentControl,4.7742377167317965e-5,NA,NA,NA
Linoleic,FA,ran_pars,cond,ID,sd__TreatmentImpact,0.6219409517148106,NA,NA,NA
Linoleic,FA,ran_pars,cond,ID,cor__TreatmentControl.TreatmentImpact,0,NA,NA,NA
Linolenic,FA,fixed,cond,NA,(Intercept),-3.3729408385077795,0.5504974919234096,-6.127077576180955,8.950783769944516e-10
Linolenic,FA,fixed,cond,NA,SeasonQ320,-1.3529468612175009,0.28075362457620656,-4.818982705066601,1.442920598911433e-6
Linolenic,FA,fixed,cond,NA,SeasonQ419,-0.6048516256715508,0.16618502986444209,-3.6396276256948723,2.730325890652422e-4
Linolenic,FA,fixed,cond,NA,SeasonQ420,-1.2076509303994172,0.26344355486384485,-4.5840974588411,4.5595154995634325e-6
Linolenic,FA,fixed,cond,NA,TreatmentImpact,0.4228975803676785,0.1563038159343578,2.7056126418902076,0.006817852152099733
Linolenic,FA,fixed,cond,NA,Sexmale,-0.08837364018524854,0.11940794388384683,-0.7400985002405981,0.4592402286729792
Linolenic,FA,fixed,cond,NA,Maturitymature,-0.02376686960334768,0.13859193471263653,-0.17148811474944123,0.8638399750706607
Linolenic,FA,fixed,cond,NA,Age,-0.0788841519799554,0.031895601162062304,-2.4731984695677363,0.01339097531268896
Linolenic,FA,fixed,cond,NA,Fulton,0.25079660889715405,0.5419900927117337,0.4627328290123272,0.6435558837715167
Linolenic,FA,ran_pars,cond,Location,sd__(Intercept),1.4072853186376384e-4,NA,NA,NA
