ID,Season,Location,Fjord,Treatment,Sex,Maturity,Age,Fulton,name,value,Type
F_136,Q419,Olderfjord,Olderfjord,Control,female,mature,5,0.9513370326181604,Docosahexaenoic,14.8529255097,FA
F_136,Q419,Olderfjord,Olderfjord,Control,female,mature,5,0.9513370326181604,Eicosapentaenoic,10.7308779143,FA
F_136,Q419,Olderfjord,Olderfjord,Control,female,mature,5,0.9513370326181604,Arachidonic,0.9297211985,FA
F_140,Q419,Olderfjord,Olderfjord,Control,male,immature,6,0.892497384519799,w3,24.8650862948,FA index
F_140,Q419,Olderfjord,Olderfjord,Control,male,immature,6,0.892497384519799,w6,4.505609997500001,FA index
F_140,Q419,Olderfjord,Olderfjord,Control,male,immature,6,0.892497384519799,SFA,26.950979238699997,FA index
F_140,Q419,Olderfjord,Olderfjord,Control,male,immature,6,0.892497384519799,MFA,44.86710679709999,FA index
F_140,Q419,Olderfjord,Olderfjord,Control,male,immature,6,0.892497384519799,PUFA,28.1819139644,FA index
F_140,Q419,Olderfjord,Olderfjord,Control,male,immature,6,0.892497384519799,Oleic,14.6992784924,FA
F_140,Q419,Olderfjord,Olderfjord,Control,male,immature,6,0.892497384519799,Linoleic,2.0047813547,FA
F_140,Q419,Olderfjord,Olderfjord,Control,male,immature,6,0.892497384519799,Linolenic,0.8159990268,FA
F_140,Q419,Olderfjord,Olderfjord,Control,male,immature,6,0.892497384519799,Docosahexaenoic,10.5590296435,FA
F_140,Q419,Olderfjord,Olderfjord,Control,male,immature,6,0.892497384519799,Eicosapentaenoic,11.9394151757,FA
F_140,Q419,Olderfjord,Olderfjord,Control,male,immature,6,0.892497384519799,Arachidonic,0.820645075,FA
F_147,Q220,Frakkfjord,Frakkfjord,Control,female,mature,10,1.111878862061477,w3,2.6334298446,FA index
F_147,Q220,Frakkfjord,Frakkfjord,Control,female,mature,10,1.111878862061477,w6,2.1241946768999997,FA index
F_147,Q220,Frakkfjord,Frakkfjord,Control,female,mature,10,1.111878862061477,SFA,39.624823274799994,FA index
F_147,Q220,Frakkfjord,Frakkfjord,Control,female,mature,10,1.111878862061477,MFA,56.4734058821,FA index
F_147,Q220,Frakkfjord,Frakkfjord,Control,female,mature,10,1.111878862061477,PUFA,3.9017708431,FA index
F_147,Q220,Frakkfjord,Frakkfjord,Control,female,mature,10,1.111878862061477,Oleic,26.0501535788,FA
F_147,Q220,Frakkfjord,Frakkfjord,Control,female,mature,10,1.111878862061477,Linoleic,1.0747524605,FA
F_147,Q220,Frakkfjord,Frakkfjord,Control,female,mature,10,1.111878862061477,Linolenic,0.2188987821,FA
F_147,Q220,Frakkfjord,Frakkfjord,Control,female,mature,10,1.111878862061477,Docosahexaenoic,0.8695752441,FA
F_147,Q220,Frakkfjord,Frakkfjord,Control,female,mature,10,1.111878862061477,Eicosapentaenoic,0.6026669415,FA
