ID,Season,Location,Fjord,Treatment,Sex,Maturity,Age,Fulton,w3,w6,SFA,MFA,PUFA,Oleic,Linoleic,Linolenic,Docosahexaenoic,Eicosapentaenoic,Arachidonic
F_53,Q419,Outer Bergsfjord,Bergsfjord,Control,female,mature,3,0.8101999726849384,28.317008787,7.0187287343,40.9656103797,25.417685722300003,33.616703898000004,12.4777896057,2.3618745177,0.6428408944,15.2695693781,10.4474436813,0.998844849
F_54,Q419,Bergsfjord,Bergsfjord,Impact,female,immature,3,0.8673178061607814,40.1250811178,4.640886215,37.13524334230001,20.0728341139,42.7919225439,11.883984869,2.3057731568,0.3317283679,23.4824775125,14.0375138555,0.650844881
F_55,Q419,Outer Bergsfjord,Bergsfjord,Control,male,immature,4,0.940466392318244,9.9277092286,3.4529850344999997,49.874444285900005,37.7022531642,12.42330255,20.6827737913,1.8964366384,0.9390449253,4.1691061941,3.5128474188,0.6788790773
F_57,Q419,Bergsfjord,Bergsfjord,Impact,female,mature,8,1.0731072937296535,28.6794421166,4.929848217299999,30.6333197691,38.242995979099994,31.1236842518,20.1471668371,2.7861240102,0.3005179281,16.0302277238,9.6005948826,0.7073631394
F_58,Q419,Bergsfjord,Bergsfjord,Impact,female,mature,9,0.7998483575168762,24.9589081548,5.967552195700001,24.4867115649,46.06879679509999,29.4444916402,19.6604151945,2.9630941216,1.4811254113,15.2750688028,6.1013719866,0.6994104524
F_6,Q419,Bergsfjord,Bergsfjord,Impact,female,immature,3,0.8433945532598719,25.3113445411,15.1238002946,19.539850750100005,49.1483267669,31.3118224831,29.0253035713,11.9949727855,2.8716504329,6.8107764786,5.9100530845,0.6070154513
F_62,Q419,Bergsfjord,Bergsfjord,Impact,female,mature,5,0.8228588617789492,11.1222949798,4.1211277918,32.5264934557,53.7750205513,13.6984859929,15.1277808082,2.0731151148,0.5281783361,6.6649241204,2.2386954995,0.1841735096
F_69,Q419,Bergsfjord,Bergsfjord,Impact,male,mature,4,0.864391744242737,17.9254916523,4.968538849900001,45.565349433399994,33.1058165645,21.328834002199997,18.8530794963,2.1448002739,0.5796037739,10.0874949445,5.4734560807,0.4020778326
F_7,Q419,Bergsfjord,Bergsfjord,Impact,female,mature,5,0.8947017398155452,29.3649532281,5.6456113599,27.1106774883,39.52301730079999,33.366305211,21.3674759509,2.7667951786,1.1225358016,16.9544854038,9.287473978,1.0791046637
F_70,Q419,Frakkfjord,Frakkfjord,Control,female,mature,12,0.8492895825343597,30.155240840400005,5.3976327104,32.0171840085,34.79241664799999,33.1903993437,21.9881906567,2.6558456617,0.2933714546,18.0257972473,9.2428745971,0.807725428
F_71,Q419,Frakkfjord,Frakkfjord,Control,female,mature,6,0.8195763821288309,25.8944569757,3.903817220500001,29.1670275209,42.0270475814,28.805924897799997,11.2086549478,2.0498442934,1.057494995,17.491359211,6.1353369158,0.3425872976
F_72,Q419,Frakkfjord,Frakkfjord,Control,female,mature,8,0.8961475090243627,31.6116140272,5.0148746917,33.51717562020001,31.997991091599996,34.4848332882,19.6599861977,2.4691672033,0.3275117726,20.1739809949,8.6814274468,0.5797537551
F_73,Q419,Frakkfjord,Frakkfjord,Control,female,mature,4,1.009927381190289,27.8367707091,4.805374015100001,34.12295670710001,33.7583179139,32.118725378899995,15.0990529224,1.5550063159,1.0315869706,16.0814578033,9.6746059701,1.4132922614
F_74,Q419,Frakkfjord,Frakkfjord,Control,female,mature,8,0.9276407004850996,9.812206690499998,3.1464516827,50.8899904515,36.9261146483,12.1838949002,15.5545400505,1.3040362472,0.5292727742,4.4776883882,3.7489732761,0.6825552167
F_79,Q419,Frakkfjord,Frakkfjord,Control,male,mature,6,0.7599654662751354,21.9197034632,3.4900476076,45.2827842753,29.4038170907,25.3133986339,7.8904574605,0.4524146095,0.3560621726,15.1805740854,6.0275902303,2.2854506797
F_80,Q419,Frakkfjord,Frakkfjord,Control,female,mature,4,0.9886297376093296,29.4543843269,3.8833057725,30.3073452784,37.6120954998,32.0805592219,17.5932009429,1.6365485924,0.3794177149,18.8884889303,8.6707746456,0.9744314509
F_81,Q419,Frakkfjord,Frakkfjord,Control,male,mature,4,0.9653061224489796,25.3503681416,4.1213713923,26.4809513055,44.848320623899994,28.670728070400003,16.2586335955,1.6730492688,0.8720378053,14.7681190878,8.5416326152,0.794506621
F_82,Q419,Frakkfjord,Frakkfjord,Control,male,mature,6,0.9882142157274432,23.9148570495,4.6370054313,30.5069044174,41.54287031170001,27.9502252707,17.8201546112,1.3674508622,0.7658136521,12.874126497,9.1776427482,1.9527892675
F_83,Q419,Frakkfjord,Frakkfjord,Control,male,immature,5,0.8996020367940473,30.9341003403,4.849249488599999,42.47903942520001,22.4284924398,35.0924681348,10.3360957294,0.9873603815,0.2964786874,21.9746039803,7.7027635091,2.9493129818
F_86,Q419,Frakkfjord,Frakkfjord,Control,male,mature,4,0.7551020408163265,27.3410197066,7.909357499700001,26.720844245499997,38.06117749089999,35.2179782634,9.4221128816,2.2867667043,2.2543677614,17.0064509048,7.6292283612,0.3728982176
F_9,Q419,Bergsfjord,Bergsfjord,Impact,female,mature,5,1.0507276622979105,23.6847360678,12.3815148978,22.446076583800004,47.2979339104,30.255989505899997,29.675236675,8.0532424966,2.2429810369,7.9530102397,7.1034718327,1.0638391133
F_93,Q419,Frakkfjord,Frakkfjord,Control,female,mature,5,0.9667349199422643,27.2624811654,4.207578271,26.674929715700003,42.8789891102,30.446081174,15.4855507948,1.9089627849,0.8849845225,17.1628648639,7.9318513046,0.6041449741
F_97,Q419,Frakkfjord,Frakkfjord,Control,male,mature,5,0.6068148148148148,15.9512179999,3.9100439555,38.940414446999995,42.14612146679999,18.9134640863,13.8259932674,1.5240088602,0.5762109911,8.8181791242,5.260106205,0.814290213
